Method,Data size,Data function,Noise mean,Noise std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Time elapsed
fnn,10000000,sphere_func,0,0,0,0,0,0,0
fnn,10000000,sphere_func,0,5,0,0,0,0,0
fnn,10000000,rastrigin_func,0,0,0,0,0,0,0
fnn,10000000,rastrigin_func,0,5,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,0,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,5,0,0,0,0,0
16nn,1000,rastrigin_func,0,0,0.022376134425556415,54.286331647061516,14.561964357175963,9.598659282997561,0.06335091590881348
16nn,10000,rastrigin_func,0,0,0.02800615051764055,44.347808091862795,11.9419180164234,8.684868739909618,0.16355323791503906
16nn,1000000,rastrigin_func,0,0,4.647553376457836e-05,29.32116882852319,6.709241929700115,4.905089418107217,14.771494626998901
16nn,100000,rastrigin_func,0,0,0.001005410361358372,45.03387625298939,11.723171842177367,8.517721793630644,1.2467010021209717
16nn,10000000,rastrigin_func,0,0,5.830102992376851e-06,15.597788382459782,2.8948546811934137,2.1318542816100923,163.92570781707764
16nn,1000,rastrigin_func,0.0,5.0,0.08409676018385426,38.39209913974164,12.0701761491703,9.248968968780629,0.060239315032958984
16nn,10000,rastrigin_func,0.0,5.0,0.006745252669219326,46.0401336631648,11.840628512126743,8.660964792238634,0.22381258010864258
16nn,100000,rastrigin_func,0.0,5.0,0.0015770045195466764,46.22253693685304,11.730736417922332,8.477910540535943,1.2129592895507812
16nn,1000000,rastrigin_func,0.0,5.0,1.4519837250759338e-05,31.820434390161545,6.757469049719775,4.946289892746788,15.053955316543579
16nn,10000000,rastrigin_func,0.0,5.0,3.3368443155268324e-06,18.642228210998066,3.0659729029098806,2.2696723048728096,157.69876313209534
16nn,1000,rosenbrock_func,0,0,188.10371167933772,68377.34419042549,14261.60368339844,13612.963859815321,0.06588864326477051
16nn,10000,rosenbrock_func,0,0,34.485341580584645,58167.23394037339,7659.823786246033,8706.988118092708,0.16580939292907715
16nn,100000,rosenbrock_func,0,0,0.0010247057107335422,55574.818930557405,3482.7093012689993,4411.408775201641,1.4569952487945557
16nn,1000000,rosenbrock_func,0,0,0.0006127654594365595,33014.27041663569,1668.7886792926606,2212.112694361375,17.45975112915039
16nn,10000000,rosenbrock_func,0,0,0.00044221143252798356,27624.075151766767,819.5598618310685,1077.6173478720855,196.10695838928223
16nn,1000,rosenbrock_func,0.0,5.0,107.60528499291104,93437.63341934756,17728.858779961276,16737.882877943164,0.08897686004638672
16nn,10000,rosenbrock_func,0.0,5.0,8.691740870494868,61909.95792806278,7179.678018067994,7864.181613009989,0.2143702507019043
16nn,100000,rosenbrock_func,0.0,5.0,0.432604141066804,74414.21085516503,3532.4266802733027,4597.511225719706,1.5048978328704834
