Method,Data size,Data function,Noise mean,Noise std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Time elapsed
fnn,10000000,sphere_func,0,0,0,0,0,0,0
fnn,10000000,sphere_func,0,5,0,0,0,0,0
fnn,10000000,rastrigin_func,0,0,0,0,0,0,0
fnn,10000000,rastrigin_func,0,5,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,0,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,5,0,0,0,0,0
16nn,1000,rastrigin_func,0,0,0.0010957775256256914,0.8597861814450678,0.19690270632140466,0.17045990473303568,0.06222248077392578
16nn,1000000,rastrigin_func,0,0,1.608917481870141e-08,3.3762001510236503,0.10373129588921592,0.10831568985974091,16.443777561187744
16nn,10000,rastrigin_func,0,0,5.795422608124611e-06,6.179393077193876,0.19115234301381778,0.2581918770679068,0.14560699462890625
16nn,10000000,rastrigin_func,0,0,1.6180472140034337e-08,2.342292136570325,0.044204793294453926,0.04492289574540282,154.31204867362976
16nn,100000,rastrigin_func,0,0,1.569630752058256e-05,4.386072050602954,0.18171342294551948,0.2025238846852197,1.3969550132751465
16nn,1000,rastrigin_func,0.0,5.0,0.00224923278735134,1.3394943730205469,0.21939664805743758,0.21945607209085854,0.09875059127807617
16nn,1000000,rastrigin_func,0.0,5.0,6.618040113224489e-07,4.927237929257095,0.10475647567331772,0.10972255500329234,15.032137393951416
16nn,10000,rastrigin_func,0.0,5.0,0.00016262984088734144,2.2827307361483067,0.1918565983272495,0.22678764763868772,0.21020960807800293
16nn,100000,rastrigin_func,0.0,5.0,2.815059775998062e-05,3.1145932269076866,0.18355411475695818,0.19706833137972163,1.3664395809173584
16nn,10000000,rastrigin_func,0.0,5.0,8.01057428554224e-09,3.338374431121049,0.0466639067758265,0.04738577496096198,155.16324043273926
16nn,1000,rosenbrock_func,0,0,0.003856814836040557,11.138808899875222,0.6249715913577705,1.1946134210715624,0.0773928165435791
16nn,10000,rosenbrock_func,0,0,0.00012439926636245046,7.556648063127566,0.24690220646032185,0.38852067886764147,0.20493102073669434
16nn,100000,rosenbrock_func,0,0,7.507059055987513e-06,7.950703330233575,0.09968404353109585,0.12909772010054918,1.448815107345581
16nn,1000000,rosenbrock_func,0,0,1.860073916650817e-07,12.061726942965958,0.04454182310401402,0.06063720429367493,17.41678237915039
16nn,10000000,rosenbrock_func,0,0,9.15707148321329e-09,41.989551726263116,0.021792350520147042,0.04185656553119977,184.4208812713623
16nn,10000,rosenbrock_func,0.0,5.0,1.0988489145116429e-05,10.276784693967285,0.26887590650222265,0.43866578730367645,0.3212556838989258
16nn,1000,rosenbrock_func,0.0,5.0,0.0010319915604453612,3.3217757821490297,0.5300393002515735,0.5657273320873869,0.0640106201171875
