Method,Data size,Data function,Noise mean,Noise std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Time elapsed
fnn,10000000,sphere_func,0,0,0,0,0,0,0
fnn,10000000,sphere_func,0,5,0,0,0,0,0
fnn,10000000,rastrigin_func,0,0,0,0,0,0,0
fnn,10000000,rastrigin_func,0,5,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,0,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,5,0,0,0,0,0
16nn,1000,rastrigin_func,0,0,0.10823302462586071,46.337644258936166,12.368145076896777,9.914488002757551,0.0744025707244873
16nn,10000,rastrigin_func,0,0,0.01734176153236433,40.10141863511371,11.449451701757978,8.435024864347332,0.2274022102355957
16nn,100000,rastrigin_func,0,0,0.0014218358076192317,43.59135153716854,11.695175376056358,8.408923095958796,1.3352797031402588
16nn,1000000,rastrigin_func,0,0,0.00013039197356334853,29.44024496169775,6.732799027720597,4.895420882883768,16.416212797164917
16nn,10000000,rastrigin_func,0,0,1.0231874085775416e-06,15.542163530376182,2.9022957011000843,2.1355274837314044,162.1136121749878
16nn,1000,rastrigin_func,0.0,5.0,0.16910894476032468,39.86811426156357,11.711211693869144,8.65371545796623,0.05735206604003906
16nn,10000,rastrigin_func,0.0,5.0,0.0028389054144213333,43.40576453270439,11.687161759848978,8.471870017142459,0.15938210487365723
16nn,100000,rastrigin_func,0.0,5.0,0.0016950834504001477,49.85045614485426,11.87983505570487,8.642528897563386,2.1152238845825195
16nn,1000000,rastrigin_func,0.0,5.0,9.187782268327283e-08,31.383327878422733,6.800170536738875,4.94721649972235,16.53962230682373
16nn,10000000,rastrigin_func,0.0,5.0,1.7196545201159097e-06,17.03261088355912,3.061989395355371,2.263888080238757,184.3321750164032
16nn,10000,rosenbrock_func,0,0,5.031868501762801,62427.26516415739,7941.972549851855,8818.585569832243,0.22318053245544434
16nn,1000,rosenbrock_func,0,0,245.76253772665078,88364.79235342772,15117.792200544083,15280.910678010445,0.08935546875
16nn,100000,rosenbrock_func,0,0,0.039813491859604255,50075.30071558646,3530.9717200771784,4518.336988457128,1.6333935260772705
16nn,1000000,rosenbrock_func,0,0,3.6820767491008155e-05,35286.067723443906,1665.7120791100665,2219.068542833983,19.59377098083496
16nn,10000000,rosenbrock_func,0,0,0.0004927353802486323,23341.953740139055,818.8816021038067,1076.2633702898163,197.96897268295288
16nn,1000,rosenbrock_func,0.0,5.0,706.3740710441864,68328.28501733206,13319.551916777695,12416.69851629763,0.07467794418334961
16nn,10000,rosenbrock_func,0.0,5.0,11.034578544256874,90923.87355958237,8072.18111756199,9542.110857223235,0.18482255935668945
16nn,100000,rosenbrock_func,0.0,5.0,0.46535155077435775,49164.91729536073,3501.17194651278,4520.73388435149,1.649151086807251
