Method,Data size,Data function,Noise mean,Noise std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Time elapsed
fnn,10000000,sphere_func,0,0,0,0,0,0,0
fnn,10000000,sphere_func,0,5,0,0,0,0,0
fnn,10000000,rastrigin_func,0,0,0,0,0,0,0
fnn,10000000,rastrigin_func,0,5,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,0,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,5,0,0,0,0,0
16nn,10000,rastrigin_func,0,0,3.754080006690566e-08,0.00018634022658666592,4.868912198071986e-05,3.6000520709816066e-05,0.3152940273284912
16nn,1000,rastrigin_func,0,0,6.62220813733359e-07,0.0001752271277843183,5.3789280189581365e-05,3.862655650524101e-05,0.06801271438598633
16nn,100000,rastrigin_func,0,0,5.135215888972605e-09,0.00019895905340041096,4.8827560771224675e-05,3.5407552382850454e-05,3.728065252304077
16nn,10000000,rastrigin_func,0,0,1.566712301007905e-11,6.594029836014099e-05,1.2020487838403901e-05,8.843500336097872e-06,321.2215487957001
16nn,1000000,rastrigin_func,0,0,1.308715037894391e-10,0.000130885358910253,2.7855765668674744e-05,2.0283203017970215e-05,32.30281138420105
16nn,1000,rastrigin_func,0.0,5.0,9.60240404914361e-07,0.00019439635920799777,5.154806842518439e-05,3.967608056711931e-05,0.1425013542175293
16nn,10000,rastrigin_func,0.0,5.0,5.2094655711324555e-08,0.00017379419823198666,4.7236012987076766e-05,3.469171515163612e-05,0.35456013679504395
16nn,100000,rastrigin_func,0.0,5.0,1.2880200847245668e-09,0.0001883415709125857,4.855867943061483e-05,3.5108333113664755e-05,2.5856759548187256
16nn,1000000,rastrigin_func,0.0,5.0,5.607980774688185e-10,0.00012808812193413585,2.8156019372463543e-05,2.0536957410446802e-05,29.94705581665039
16nn,10000000,rastrigin_func,0.0,5.0,1.5259571221209827e-11,7.020146843412859e-05,1.2701329096647458e-05,9.396098317555623e-06,313.0423743724823
16nn,1000,rosenbrock_func,0,0,0.18005164469120144,646.7783155611695,93.86575868488063,103.38436787687449,0.11683940887451172
16nn,10000,rosenbrock_func,0,0,0.00512529857377874,529.767453035907,47.708989864653255,53.780406458065976,0.29125142097473145
16nn,100000,rosenbrock_func,0,0,0.000430677484775895,360.91922975679006,21.74990512838536,27.810809662987737,2.764432668685913
16nn,1000000,rosenbrock_func,0,0,3.7232220637433906e-05,259.9008910056196,10.33678105246273,13.73304448079235,39.99367094039917
16nn,10000000,rosenbrock_func,0,0,2.507226126374876e-06,156.7423027252203,5.076189448242379,6.662568295398674,448.7746949195862
16nn,1000,rosenbrock_func,0.0,5.0,0.2636725008371762,491.4665861935952,91.83392583882357,85.8231000418504,0.0840911865234375
16nn,10000,rosenbrock_func,0.0,5.0,0.011672834161023762,451.1642029052499,48.61102993514622,56.157132154411876,0.34623026847839355
