Method,Data size,Data function,Noise mean,Noise std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Time elapsed
fnn,10000000,sphere_func,0,0,0,0,0,0,0
fnn,10000000,sphere_func,0,5,0,0,0,0,0
fnn,10000000,rastrigin_func,0,0,0,0,0,0,0
fnn,10000000,rastrigin_func,0,5,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,0,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,5,0,0,0,0,0
16nn,1000,rastrigin_func,0,0,6.93893210426122e-05,0.32961602231209636,0.11645660523292342,0.08448746394052571,0.06679058074951172
16nn,10000,rastrigin_func,0,0,1.5206736584005842e-05,0.2873627118150975,0.08419017859238674,0.06133267410692178,0.2095651626586914
16nn,100000,rastrigin_func,0,0,1.7151314058327927e-05,0.30388921797240576,0.07545297348545076,0.05492627197073657,1.2473962306976318
16nn,10000000,rastrigin_func,0,0,2.1279223494374833e-08,0.10422318130264929,0.01821929268408323,0.013388735031457166,175.0390431880951
16nn,1000000,rastrigin_func,0,0,3.073554761812147e-07,0.19602180046717113,0.042656086697308845,0.03110397297497864,16.47603988647461
16nn,10000,rastrigin_func,0.0,5.0,0.0001218732413384438,0.34562521962450105,0.08643743789043568,0.06255931733801647,0.22547173500061035
16nn,1000,rastrigin_func,0.0,5.0,9.101010215234462e-05,0.35257653779057013,0.10843037493459282,0.0849985283281519,0.06141543388366699
16nn,1000000,rastrigin_func,0.0,5.0,3.6328367980509313e-07,0.17691378210847453,0.038455905525509856,0.02815914651612561,16.84340786933899
16nn,100000,rastrigin_func,0.0,5.0,9.502922602933062e-06,0.30475968210200266,0.07465690581788821,0.05354463072052039,1.2918388843536377
16nn,10000000,rastrigin_func,0.0,5.0,4.249973478698266e-08,0.10364550315784696,0.017172863598011408,0.01271364550797029,162.53096294403076
16nn,1000,rosenbrock_func,0,0,0.00047199554728924453,0.37277416057923807,0.06425026282899049,0.06923514958638637,0.06441307067871094
16nn,10000,rosenbrock_func,0,0,3.58127507853398e-05,0.3519211451318734,0.035552719698268065,0.04038713619800799,0.20530033111572266
16nn,100000,rosenbrock_func,0,0,1.0101577433900381e-06,0.195921719998692,0.01324367501514698,0.016742165516759392,1.8452749252319336
16nn,1000000,rosenbrock_func,0,0,6.630227352560913e-08,0.13094579387130856,0.006060377345101714,0.008088323066953493,17.816287994384766
16nn,10000000,rosenbrock_func,0,0,4.82447262261515e-10,0.08814163422830024,0.0029069129407875453,0.0038094702568027263,174.02456855773926
16nn,1000,rosenbrock_func,0.0,5.0,0.0016198909878271772,0.505075767383995,0.09437013187976837,0.09824060777142127,0.10704803466796875
16nn,10000,rosenbrock_func,0.0,5.0,1.4678506757861975e-05,0.2779256629347926,0.02966044945409175,0.03338584227385,0.20003318786621094
