Method,Data size,Data function,Noise mean,Noise std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Time elapsed
fnn,10000000,sphere_func,0,0,0,0,0,0,0
fnn,10000000,sphere_func,0,5,0,0,0,0,0
fnn,10000000,rastrigin_func,0,0,0,0,0,0,0
fnn,10000000,rastrigin_func,0,5,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,0,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,5,0,0,0,0,0
fnn,1000,sphere_func,0.0,0.0,0.16921684954192528,35.48764045848338,11.992791010530807,8.6262479020606,2.4652955532073975
fnn,1000,sphere_func,0.0,0.0,0.0008365059194836988,15.323951249211792,4.07437704720658,3.1597657309290486,6.808813571929932
fnn,1000,sphere_func,0.0,0.0,0.3631686329128456,44.27764971588948,12.630414237085919,9.023328043608162,2.623028516769409
fnn,1000,sphere_func,0.0,0.0,0.050886954162795206,10.707778467608463,2.5531137890160633,2.1869424295964035,12.165640354156494
fnn,1000,sphere_func,0.0,0.0,0.32553651723665666,42.16986168969322,12.940331190390449,9.119319833434519,2.3287479877471924
