Method,Data size,Data function,Noise mean,Noise std. deviation,Absolute error min,Absolute error max,Absolute error mean,Absolute error std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Normalized error min,Normalized error max,Normalized error mean,Normalized error std. deviation,Time elapsed
fnn,10000000,sphere_func,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fnn,10000000,sphere_func,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
fnn,10000000,rastrigin_func,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fnn,10000000,rastrigin_func,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
16nn,1000,rastrigin_func,0,0,0.2835052757696445,42.358214832028025,13.43638023322445,9.117947631105517,0.0039040444832333745,1.7750153455044113,0.20229468376876053,0.19595849484773792,0.002840742171003025,0.42394670871527323,0.13451708521836334,0.09125432249673152,0.10481762886047363
16nn,10000,rastrigin_func,0,0,0.01904919231846236,51.12816092525144,11.53996878365254,8.494224858215125,0.00027210559531923377,1.876246050281543,0.17339655723800604,0.16886091917218146,0.00014895004218158718,0.3997829198827629,0.09023368594128364,0.06641830948941552,0.152862548828125
16nn,100000,rastrigin_func,0,0,0.0004916121970524046,45.95074530542523,11.742138234043066,8.570755400070455,6.181329461250899e-06,10.351971770860569,0.18357487019892482,0.22055852676695858,3.1924910325554046e-06,0.2984005344179242,0.07625252432704077,0.05565781305062702,2.422109365463257
16nn,1000000,rastrigin_func,0,0,2.9284759165193464e-05,30.155407296072433,6.708071477171153,4.897500878965922,2.496854770689379e-07,6.947185433434141,0.103622971034707,0.11075445808306086,1.929490233351461e-07,0.19868547845072496,0.04419759208813607,0.032268252781215985,15.097898960113525
16nn,10000000,rastrigin_func,0,0,2.0749014879584138e-06,15.380762165119553,2.897749459998337,2.1304093400842663,2.5670719944722367e-08,2.6539805417488083,0.04424458050243496,0.04497653999125513,1.326882852419696e-08,0.09835873988467546,0.018530875279594416,0.013623796784559581,160.9006826877594
16nn,1000,rastrigin_func,0.0,5.0,0.056248527730197395,42.50888200309989,12.933347950598485,9.1298270144576,0.0009923954595343614,1.5713787647098445,0.19919581492058683,0.22266440553749817,0.0005698237704333897,0.4306347632083961,0.13102083540544823,0.09248939772675879,0.08747243881225586
16nn,10000,rastrigin_func,0.0,5.0,0.03592381617326623,45.86064538197916,11.97029055527024,8.568067625260795,0.0003911615807313454,2.1092308804964217,0.18591700947398124,0.19306393493997148,0.0002730020513807947,0.3485167112130098,0.09096789331766049,0.06511279388536349,0.15502309799194336
16nn,100000,rastrigin_func,0.0,5.0,0.0009521768749394255,45.213805716145295,11.673985841941983,8.434920280902913,1.3765777363713654e-05,3.91256703030881,0.18188115722754988,0.19418842070148704,6.906138975717019e-06,0.3279357376922563,0.0846714205594765,0.06117847769902561,1.6100759506225586
16nn,1000000,rastrigin_func,0.0,5.0,0.00010382033083544684,30.36964897892966,6.807080167014329,4.953904985042349,1.4746207055852761e-06,4.458225969415284,0.10492812276104266,0.110328443534678,6.901751267823734e-07,0.20189086439717413,0.045251998134481504,0.032932489943020685,17.63787317276001
16nn,10000000,rastrigin_func,0.0,5.0,2.082830860672402e-06,17.66871134223439,3.0542017865698834,2.2600039143454187,3.581851904935501e-08,3.007637635954049,0.04644610192809066,0.047117939642486346,1.3275246977423631e-08,0.1126142843712454,0.019466430904770838,0.014404487037029016,157.6354365348816
16nn,1000,rosenbrock_func,0,0,2.695121421708609,86046.25282573662,13811.88465019769,15774.692881151403,0.00010377718529952272,33.299517821986385,0.9471800346359405,3.057651165899842,1.4050136874244404e-05,0.4715448781046808,0.07591843390100513,0.08687991248514641,0.08469915390014648
16nn,10000,rosenbrock_func,0,0,31.620020763701177,64748.92695774599,7393.604358744803,8562.586203658997,0.0007034879319685742,5.144557414838131,0.25739226329608395,0.33535362505344907,0.00015914429213481328,0.32588283936259704,0.037212180877125474,0.04309569340286303,0.3080291748046875
16nn,100000,rosenbrock_func,0,0,0.03682879817461071,56925.44790425501,3490.027117263763,4443.534287737158,1.3382451700346592e-06,7.9891474033920336,0.09914139529669738,0.1341257781578465,1.469813980500691e-07,0.22718585271028108,0.013928476908098366,0.017733863559666076,1.5526862144470215
16nn,1000000,rosenbrock_func,0,0,0.001702098161331378,36368.800872295724,1676.9683527073162,2225.228013912808,3.075355199619755e-08,10.41359801904443,0.04480505852752724,0.06420940996870254,6.022507891699983e-09,0.12868317188812434,0.005933591474190349,0.007873490248141253,19.891621351242065
16nn,10000000,rosenbrock_func,0,0,0.0006702989339828491,18910.64698843911,819.1736285177232,1075.1277752596484,6.235580993027394e-09,3.3683849098603647,0.021767494944384572,0.024058856630755195,2.4589550601831186e-09,0.06937267649712363,0.003005093752787863,0.00394404757234147,203.67699694633484
16nn,1000,rosenbrock_func,0.0,5.0,28.188792456079682,81320.84613585763,17682.7534789718,15763.96407531243,0.0007221144017653602,11.359900469867979,0.7486438945175145,1.4042985560705774,0.00018598867944036524,0.536552135297985,0.11667019697802525,0.10401009073662423,0.07976603507995605
16nn,10000,rosenbrock_func,0.0,5.0,2.9251398792049486,61505.01280037359,7333.8007631617165,8376.676435467174,0.00029564529403476017,26.120025857298238,0.2597958592270539,0.7301936671798811,1.5706394757832395e-05,0.33024814214722825,0.03937848260877641,0.04497815225500933,0.2658870220184326
16nn,100000,rosenbrock_func,0.0,5.0,0.27251881079064333,60101.82406173185,3494.718963888895,4521.870774083805,3.359217036893178e-06,8.021339301380378,0.10198155837583364,0.17496767012112216,1.0961505345684018e-06,0.24174715272926534,0.014056784004448142,0.018188289651935387,1.67551851272583
16nn,1000000,rosenbrock_func,0.0,5.0,0.002033553043474967,33223.65851596999,1672.9427192164699,2226.462183087482,2.6277960258756316e-07,6.506779703910668,0.044495603013234734,0.058049830000488814,7.522962122631868e-09,0.12290819036802506,0.006188913906318366,0.00823661360817883,17.504098892211914
16nn,10000000,rosenbrock_func,0.0,5.0,0.00023267058350029401,23483.029241858167,818.3749258979516,1075.51271091291,2.3128845841639748e-08,38.22617467896591,0.02183593323922833,0.04949914796787438,8.321492613796732e-10,0.08398734874254031,0.002926928191232927,0.0038465847058379724,196.0407316684723
16nn,10000,sphere_func,0,0,0.0024757485583819516,18.965011691671606,2.620778148642755,2.635054571336049,5.7799508284277135e-05,0.9215299714927283,0.08040178472838332,0.07817677317948271,2.9738026857784496e-05,0.22780262766818402,0.03148008335045511,0.03165156790612573,0.12440323829650879
16nn,1000,sphere_func,0,0,0.03258042951705775,33.47543542989428,5.661657737437969,5.794529878584498,0.001995872451359899,2.0614737850896327,0.18202446883344578,0.23225400761655907,0.0003726202756842304,0.3828564007115434,0.06475201518903759,0.0662716653163894,0.05345630645751953
16nn,100000,sphere_func,0,0,0.00018575781022178717,11.13471446678956,1.1452674905708216,1.148728994792632,5.534403539665609e-06,2.445782661254255,0.03542125134970463,0.043188096317228704,1.9661331465082417e-06,0.11785416270745899,0.012121958006186184,0.012158595917556664,0.8893222808837891
16nn,1000000,sphere_func,0,0,7.278332958549072e-07,8.097072467988497,0.5487262613330985,0.532403918787676,2.2889028541886165e-08,0.9087645075625422,0.017133838124038424,0.016619752964124688,7.284020663463337e-09,0.08103399982699575,0.005491550673620262,0.005328199696062506,11.255885601043701
16nn,10000000,sphere_func,0,0,2.7246563405469715e-07,4.647370336147077,0.27905623629351084,0.25951502854926894,1.0866714560332859e-08,3.3847953807277245,0.008814311023175809,0.008855765936680167,2.6825311759239932e-09,0.04575518617616277,0.0027474182433703913,0.002555027378478368,141.70934391021729
16nn,1000,sphere_func,0.0,5.0,0.055179241387350864,26.609487794414093,6.01523789806854,5.032669428198366,0.001838796569119614,2.1268469625868187,0.21306023648541497,0.23745948717132825,0.0007764776772225408,0.36884997730823343,0.08376734165195263,0.0699820211043424,0.0906682014465332
16nn,10000,sphere_func,0.0,5.0,2.6827569655551997e-05,18.749102593371116,2.7159069370207916,2.4980684049086466,1.5309332523527235e-06,2.74090752427831,0.08681745208195023,0.1098277677512467,3.310563860420167e-07,0.2313668448460406,0.033514714412845543,0.030826553013670134,0.12884092330932617
16nn,100000,sphere_func,0.0,5.0,7.819757001925609e-07,16.949091515751633,1.562618740208102,1.347328792000601,2.504901920652398e-08,3.062504347813353,0.05417113695707533,0.07084080975114325,8.174446753685052e-09,0.17717871039308394,0.01633496243552846,0.014084411404604525,1.0609748363494873
16nn,1000000,sphere_func,0.0,5.0,5.1396003343029406e-05,9.122015477044698,1.1564675056059692,0.896572136786409,1.0034526469775408e-06,7.2632294210701485,0.04454721300337361,0.07605802525952486,5.071799836582955e-07,0.09001679818759137,0.011412116360096992,0.008847447507715326,10.990278005599976
16nn,10000000,sphere_func,0.0,5.0,4.8794556271047895e-06,8.06444183664756,1.041393227645986,0.7880852369965944,1.221350881789838e-07,25.919816758373592,0.04182664377627445,0.08951755745192333,4.787643835429743e-08,0.07912701374090855,0.010217983823650242,0.0077325663251059705,138.3625557422638
1nn,1000,rastrigin_func,0,0,0.45056044152428143,69.33023941447232,17.109242974724022,12.294757749040711,0.007632832176324824,1.4127032783376134,0.2541910270496114,0.22183246273781504,0.004674560471389475,0.7193006015850931,0.17750823981455285,0.127557999509546,0.07004857063293457
1nn,10000,rastrigin_func,0,0,0.033127746665954305,62.11804832642049,15.700386367354216,11.682616936693195,0.00034248883624071795,2.134215040640831,0.2360023334338151,0.2258005639242331,0.0002843546301328294,0.5331951742611435,0.1347655064936763,0.10027866523837492,0.16071677207946777
1nn,100000,rastrigin_func,0,0,0.0011310621198674653,50.38472708513721,11.81103837245587,8.742693522306478,1.1620042781021104e-05,2.6660866435486246,0.17788953667352095,0.1659699097662635,8.33075826979821e-06,0.371105153698558,0.08699337009692303,0.06439369251425406,1.2400977611541748
1nn,1000000,rastrigin_func,0,0,5.748512757008939e-05,36.24822514146257,7.260809985750244,5.368319952815873,7.856049160544981e-07,2.5441042917618257,0.10797174981814675,0.09570603693860072,3.911079734506286e-07,0.24661978629123021,0.04939991958223377,0.03652410329994375,13.985308647155762
1nn,10000000,rastrigin_func,0,0,7.130434198643343e-08,23.177141364442633,4.192887495030454,3.1291264710058955,6.368966720838407e-10,2.0634610075395368,0.06204269598004143,0.0540102689965614,4.514020796085535e-10,0.14672612522364206,0.026543658942698778,0.019809371449483127,216.60205078125
1nn,1000,rastrigin_func,0.0,5.0,0.07096828156226351,57.824963816935714,17.875750715680514,12.765326729027061,0.00112724102322568,1.2175717283397693,0.26376967931830725,0.22198824702372347,0.0005571121665033835,0.5405930260834992,0.16763677006335692,0.11968340199614542,0.07877850532531738
1nn,10000,rastrigin_func,0.0,5.0,0.015735339293215134,64.127783687322,16.186635578000566,12.004486528023188,0.00017200274391901242,2.945197123827775,0.2512790522653842,0.24950897650464116,0.00011948114774710404,0.48693333233322933,0.1229079183476857,0.09115213861968095,0.17392873764038086
1nn,100000,rastrigin_func,0.0,5.0,0.0006664329591785645,58.65254912282343,12.481896666864756,9.149185039103795,8.17292136454617e-06,3.1421036465003125,0.1857591230603747,0.1685566210277843,4.760408787326384e-06,0.41896203721306235,0.08915965178055087,0.06535370175975184,1.1863839626312256
1nn,1000000,rastrigin_func,0.0,5.0,1.966192890279217e-05,45.63188005039496,8.248431092523253,6.1842962637525645,2.992332385037367e-07,3.257608916273779,0.12219039794146194,0.1084121896149374,1.3105979374284162e-07,0.3041667385265323,0.05498126267431587,0.04122243533577916,11.773074865341187
