Method,Data size,Data function,Noise mean,Noise std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Time elapsed
fnn,10000000,sphere_func,0,0,0,0,0,0,0
fnn,10000000,sphere_func,0,5,0,0,0,0,0
fnn,10000000,rastrigin_func,0,0,0,0,0,0,0
fnn,10000000,rastrigin_func,0,5,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,0,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,5,0,0,0,0,0
16nn,1000,rastrigin_func,0,0,0.006690845801763804,1.157022168379992,0.18964694631330575,0.17245651580492855,0.06620311737060547
16nn,10000,rastrigin_func,0,0,0.0006798705323163447,2.237866801345731,0.18660183745927167,0.19365754286845052,0.22610235214233398
16nn,100000,rastrigin_func,0,0,1.2317302198743142e-05,3.248669876477787,0.17922081308458382,0.19069907216214782,1.8606293201446533
16nn,10000000,rastrigin_func,0,0,3.927206281147183e-08,2.778559572617392,0.044217150803749265,0.04515501924629533,182.01149559020996
16nn,1000000,rastrigin_func,0,0,1.9011784735140739e-06,4.238969175189447,0.10312535302417783,0.10836813570024614,15.999337434768677
16nn,1000,rastrigin_func,0.0,5.0,0.002222740474297268,1.1550290845024314,0.18077501463594123,0.16982211940453754,0.07817864418029785
16nn,1000000,rastrigin_func,0.0,5.0,1.1363991429566253e-06,3.047723086736163,0.10432252779083975,0.10978225500490643,14.071597814559937
16nn,100000,rastrigin_func,0.0,5.0,2.095895496586419e-05,2.9295206050631246,0.1804787486385509,0.18872435367823742,1.3897218704223633
16nn,10000,rastrigin_func,0.0,5.0,2.0701996303357062e-05,3.4024168145368305,0.1851279162517858,0.20401901467671874,0.20542502403259277
16nn,10000000,rastrigin_func,0.0,5.0,2.17266441458714e-08,3.1993835421591457,0.04654307353592296,0.04709108557334929,157.99334335327148
16nn,1000,rosenbrock_func,0,0,0.0014149607215559927,11.473947527779085,0.7224198761202894,1.3313415707117129,0.08670759201049805
16nn,10000,rosenbrock_func,0,0,2.5573757218322686e-05,13.880869639243887,0.2950682696432025,0.7176178449017857,0.15993523597717285
16nn,1000000,rosenbrock_func,0,0,2.2519314178352446e-07,5.490085345708741,0.04402788859542999,0.06757625125955437,19.117310047149658
16nn,100000,rosenbrock_func,0,0,7.2699030199321315e-06,11.096249887669392,0.10222753653857261,0.19398579074252692,1.5462405681610107
16nn,10000000,rosenbrock_func,0,0,6.81461683731809e-08,37.24084581461138,0.021619349132044604,0.04141396582807171,167.9369513988495
16nn,1000,rosenbrock_func,0.0,5.0,0.0006261613637490081,12.296651249242059,0.8253034986910042,1.7881278332579664,0.06814074516296387
16nn,10000,rosenbrock_func,0.0,5.0,0.00018179825246230865,47.720552778047484,0.2944305400697225,1.3413741983803462,0.2144031524658203
